Date,Page,Source,Visitors,Page_Views,Bounce_Rate,Avg_Session_Duration,Conversions,Conversion_Rate
2024-01-01,Homepage,Organic,2450,4900,42.5,185,98,4.0
2024-01-01,Products,Organic,1820,5460,35.2,245,127,7.0
2024-01-01,Pricing,Organic,890,1780,28.6,312,71,8.0
2024-01-01,Blog,Organic,1560,4680,45.8,156,47,3.0
2024-01-01,Homepage,Paid,1890,3780,38.4,168,95,5.0
2024-01-01,Products,Paid,1450,4350,32.1,228,116,8.0
2024-01-01,Pricing,Paid,720,1440,25.8,298,65,9.0
2024-01-01,Blog,Paid,680,2040,48.2,142,27,4.0
2024-01-08,Homepage,Organic,2680,5360,41.2,192,121,4.5
2024-01-08,Products,Organic,1950,5850,33.8,258,156,8.0
2024-01-08,Pricing,Organic,980,1960,26.4,328,88,9.0
2024-01-08,Blog,Organic,1720,5160,44.1,162,60,3.5
2024-01-08,Homepage,Paid,2100,4200,36.8,175,126,6.0
2024-01-08,Products,Paid,1620,4860,30.5,242,146,9.0
2024-01-08,Pricing,Paid,850,1700,24.2,315,85,10.0
2024-01-08,Blog,Paid,780,2340,46.5,148,35,4.5
2024-01-15,Homepage,Organic,2890,5780,40.1,198,145,5.0
2024-01-15,Products,Organic,2120,6360,32.4,265,191,9.0
2024-01-15,Pricing,Organic,1080,2160,25.2,342,108,10.0
2024-01-15,Blog,Organic,1890,5670,42.8,168,76,4.0
2024-01-15,Homepage,Paid,2350,4700,35.2,182,141,6.0
2024-01-15,Products,Paid,1820,5460,29.1,255,182,10.0
2024-01-15,Pricing,Paid,960,1920,22.8,332,106,11.0
2024-01-15,Blog,Paid,890,2670,44.8,155,45,5.0
2024-01-22,Homepage,Organic,3120,6240,38.6,205,187,6.0
2024-01-22,Products,Organic,2340,7020,31.2,278,234,10.0
2024-01-22,Pricing,Organic,1180,2360,24.1,358,130,11.0
2024-01-22,Blog,Organic,2050,6150,41.5,175,92,4.5
2024-01-22,Homepage,Paid,2580,5160,33.8,189,155,6.0
2024-01-22,Products,Paid,2010,6030,27.8,268,221,11.0
2024-01-22,Pricing,Paid,1050,2100,21.5,348,126,12.0
2024-01-22,Blog,Paid,980,2940,43.2,162,54,5.5
2024-01-29,Homepage,Organic,3380,6760,37.2,212,203,6.0
2024-01-29,Products,Organic,2560,7680,29.8,285,282,11.0
2024-01-29,Pricing,Organic,1280,2560,22.8,372,154,12.0
2024-01-29,Blog,Organic,2220,6660,40.2,182,111,5.0
2024-01-29,Homepage,Paid,2820,5640,32.4,196,169,6.0
2024-01-29,Products,Paid,2200,6600,26.5,282,264,12.0
2024-01-29,Pricing,Paid,1150,2300,20.2,365,149,13.0
2024-01-29,Blog,Paid,1080,3240,41.8,168,65,6.0
2024-02-05,Homepage,Organic,3580,7160,36.1,218,215,6.0
2024-02-05,Products,Organic,2780,8340,28.5,292,333,12.0
2024-02-05,Pricing,Organic,1380,2760,21.6,385,179,13.0
2024-02-05,Blog,Organic,2420,7260,38.9,188,133,5.5
2024-02-05,Homepage,Paid,3050,6100,31.2,202,183,6.0
2024-02-05,Products,Paid,2420,7260,25.2,295,314,13.0
2024-02-05,Pricing,Paid,1260,2520,19.1,378,176,14.0
2024-02-05,Blog,Paid,1180,3540,40.5,175,77,6.5
2024-02-12,Homepage,Organic,3820,7640,35.2,225,229,6.0
2024-02-12,Products,Organic,2980,8940,27.2,298,387,13.0
2024-02-12,Pricing,Organic,1480,2960,20.4,398,207,14.0
2024-02-12,Blog,Organic,2620,7860,37.6,195,157,6.0
2024-02-12,Homepage,Paid,3280,6560,30.1,208,197,6.0
2024-02-12,Products,Paid,2640,7920,24.1,308,370,14.0
2024-02-12,Pricing,Paid,1380,2760,18.2,392,207,15.0
2024-02-12,Blog,Paid,1290,3870,39.2,182,90,7.0
